Job,Sure,Maybe
Data Scientist,"ai, ml, python, pandas, numpy, r, sas, scrapping, nlp, problem","mathematic, probability, matrix, statistics"
IoT Solution Architect,"arduino, nodejs, rasberry, iot, swift, engine, rtos, openwrt, rtlinux, microcontroller","c, python, java, php, ai, ml, aws, cloud"
DevOps Engineer,"azure, dsa, linux, puppet, jenkins, ansible, script, yaml, docker, minikube, aws, terraform, cli","c, python, java, php, ruby, powerbi, sql, mysql, mongodb, js, nodejs, reactjs, angularjs"
Cloud Architect,"aws, gcloud, dsa, kebernetes, cli, os, linux, unix, routing, load, swtich, vcpu, networking, swiftstack, centos, coreos, docker, vmware","python, cloud, virtual, machine"
Blockchain Developer,"cryptography, python, blockchain, solidity, oops, eutherium, bitcoin, contract, hardhat, truffle, mining","java, c, python, js"
Big Data Engineer,"scala, r, java, python, unix, scripting, sql, blockchain","mathematic, probability, matrix, statistics, mining"
Artificial Intelligence (AI) Engineer,"python, ai, ml, machine, artificial, nlp, unix, neural, typescript, bigdata, deep, r, tensorflow, keras","mongodb, mysql, sql, critical, dbms, rdbms"
System Architect,"load, soa, system, analysis, linux, san, azure, api, virtual, ","c, java"
Network Engineer,"bash, tcp, ip, https, yaml, powershell, api, ssh, vpn, ssl, tls, snmp, wireshark","html, js, python, c"
IT Security,"linux, unix, python, c, php, powershell, shell, malware, virus, security, it, safety, cyber, hacking, os, networking, virtual, scripting","ccnp, cisa, cissp, cism, gsec, gcfa, gcia, ccie, csslp, chps, comptia, encrption, logic"
Full Stack Web Developer,"dsa, nodejs, react, reactjs, angularjs, bootstrap, php, django, api, restapi, ruby, powerbi, seo, ui, ux, cms, flask","dsa, html, css, js, web, development, frontend, backend, python, python3"
Project Manager,"sdlc, commmunication, leadership, management, ui, ux, html, css, js, reactjs, animation, jquery, angularjs, nextjs, expressjs, nodejs, vuejs,  php, nodejs, mogodb, flask, django, ruby, powerbi, api, restapi, golang, dsa, mysql, rdbms,","problelm, motivation, adaptability, analysis, risk, critical, negotiation, time"
Front-End Developer,"ui, ux, html, css, js, reactjs, animation, jquery, angularjs, nextjs, expressjs, nodejs, vuejs","php, nodejs, mogodb, flask, django, ruby, powerbi, api, restapi, golang, dsa, mysql, rdbms,"
Back-End Developer,"php, nodejs, mogodb, flask, django, ruby, powerbi, api, restapi, golang, dsa, mysql, rdbms,","oracle, server, cloud, backend, host, deployment, html, css, js, reactjs, angularjs, oops, bootstrap, python"